Person - First name,Person - Last name,Person - Organization,Email,Person - Phone - Work
Aiden,Ashford,Ashford Analytics,aiden@ashfordanalytics.com,5555555555
Bella,Brighton,Brighton Botanicals,"bella@brightonbotanicals.com, bella@brightonbotanicals.com",5555555555
Caleb,Calloway,Calloway Construction,"caleb@callowayconstruction.com, caleb@callowayconstruction.com, caleb@callowayconstruction.com",5555555555
Daphne,Dawson,Dawson Designs,daphne@dawsondesigns.com,5555555555
Ethan,Everly,Everly Events,ethan@everlyevents.com,5555555555
Fiona,Fairchild,Fairchild Finance,fiona@fairchildfinance.com,5555555555
Gavin,Grayson,Grayson Games,gavin@graysongames.com,5555555555
Holly,Hargrove,Hargrove Hospitality,holly@hargrovehospitality.com,5555555555
Isaac,Inglewood,Inglewood Innovations,"isaac@inglewoodinnovations.com, isaac2@inglewoodinnovations.com",5555555555
Jasmine,Jenson,Jenson Jewelry,"jasmine@jensonjewelry.com, jasmine2@jensonjewelry.com, jasmine3@jensonjewelry.com",5555555555
